member,lyric,section,line,start,end
Joshua,지금 이 노래가 내가 될 수 있게,0,0,00:00:00,00:06:33
Joshua,만들어 준 네가 다가온다,0,1,00:06:33,00:10:01
Joshua,셋 둘 하나,0,2,00:10:01,00:11:38
Jeonghan,뭐든지 다 주고 싶어,1,0,00:11:38,00:14:38
Jeonghan,나에게 너만 있다면,1,1,00:14:38,00:16:93
Hoshi,Won’t let them break your heart oh no,1,2,00:16:93,00:20:22
Wonwoo,네가 없다면 난 아무것도 아냐,1,3,00:20:22,00:23:52
Mingyu,No words are enough for you,2,0,00:23:52,00:26:31
Mingyu,노랫말로 담고 싶어,2,1,00:26:31,00:29:11
S.Coups,"So, 모든 나의 감정  너로 읽고 쓰게 해줘 ",2,2,00:29:11,00:34:24
DK,I just want to love you,3,0,00:34:24,00:36:61
DK,널 혼자 두지 않아 난,3,1,00:36:61,00:40:08
THE8,"I just want you, I need you",3,2,00:40:08,00:42:83
THE8,이 밤은 짧고 넌 당연하지 않아,3,3,00:42:83,00:46:50
Seungkwan,I tell you,4,0,00:46:50,00:47:33
Seungkwan,This time I wanna rock with you,4,1,00:47:33,00:50:46
Seungkwan,Moonlight 이 밤에 Shine on you,4,2,00:50:46,00:53:21
Jun,Tonight I wanna ride with you,4,3,00:53:21,00:57:55
Jun,그 어디라도,4,4,00:57:55,00:58:93
Vernon,Baby hold on Baby hold on,5,0,00:58:93,01:00:18
Dino,어디에서도,5,1,01:00:18,01:01:77
Vernon,Baby hold on Baby hold on,5,2,01:01:77,01:03:52
Dino,어디서라도,5,3,01:03:52,01:05:02
Vernon,세상이 끝나더라도,5,4,01:05:02,01:09:11
Dino,I wanna ride with you,5,5,01:09:11,01:11:23
Wonwoo,널 위해 달리고 있어,6,0,01:12:19,01:14:94
Wonwoo,널 위해서라면 뭐든,6,1,01:14:94,01:18:03
Jun,숨이 멈출 때까지 난 너만,6,2,01:18:03,01:21:53
Woozi,No words are enough for you,7,0,01:21:53,01:24:66
Woozi,멜로디로 담고 싶어,7,1,01:24:66,01:27:83
THE8,"So, 너의 모든 감정  내가 들을 수 있게 해줘 ",7,2,01:27:83,01:32:59
Seungkwan,I just want to love you,8,0,01:32:59,01:35:22
Seungkwan,널 혼자 두지 않아 난,8,1,01:35:22,01:38:51
Vernon,"I just want you, I need you",8,2,01:38:51,01:41:14
Vernon,이 밤은 짧고 넌 당연하지 않아,8,3,01:41:14,01:45:31
Hoshi,I tell you,9,0,01:45:31,01:46:35
Hoshi,This time I wanna rock with you,9,1,01:46:35,01:48:94
Hoshi,Moonlight 이 밤에 Shine on you,9,2,01:48:94,01:51:94
Dino,Tonight I wanna ride with you,9,3,01:51:94,01:55:69
Dino,그 어디라도,9,4,01:55:69,01:57:40
Jeonghan,Baby hold on Baby hold on,10,0,01:57:40,01:58:86
Joshua,어디에서도,10,1,01:58:86,02:00:62
Jeonghan,Baby hold on Baby hold on,10,2,02:00:62,02:02:08
Joshua,어디서라도,10,3,02:02:08,02:03:45
Jeonghan,세상이 끝나더라도,10,4,02:03:45,02:07:62
Jeonghan,I wanna,10,5,02:07:62,02:08:58
DK,Ride with you,11,0,02:08:58,02:10:17
DK,Fall into your eyes,11,1,02:10:17,02:12:84
DK,모든 순간들이 오로지 널 향해 있어,11,2,02:12:84,02:17:05
DK,나는 너 하나로 충분해,11,3,02:17:05,02:20:05
S.Coups,당연한 건 하나 없어 나에게 너만 있어서 ,12,0,02:20:05,02:25:77
S.Coups,Won’t let them break your heart oh no,12,2,02:25:77,02:29:14
Woozi,그 어디라도,13,0,02:31:06,02:32:73
Mingyu,Baby hold on Baby hold on,13,1,02:32:73,02:34:15
Woozi,어디에서도,13,2,02:34:15,02:35:48
Mingyu,Baby hold on Baby hold on,13,3,02:35:48,02:37:11
Woozi,어디서라도,13,4,02:37:11,02:38:78
Jun,세상이 끝나더라도,13,5,02:38:78,02:42:45
Seungkwan,I wanna rock with you,14,0,02:42:45,02:45:41
DK,I wanna rock with you,14,1,02:48:58,02:51:54
Wonwoo,I wanna stay with you,14,2,02:54:38,02:57:34
